Chapters requiring attention (|diff| >= 2):
============================================================

Volume 1:
  Ch            1: PDF=116 Ext= 82 Diff=  34 [UNDER]
  Ch            2: PDF=  0 Ext= 26 Diff= -26 [OVER]
  Ch            3: PDF=  0 Ext= 18 Diff= -18 [OVER]
  Ch           41: PDF= 11 Ext=  3 Diff=   8 [UNDER]
  Ch            5: PDF=  0 Ext=  4 Diff=  -4 [OVER]
  Ch           57: PDF= 10 Ext= 14 Diff=  -4 [OVER]
  Ch            9: PDF=  0 Ext=  3 Diff=  -3 [OVER]
  Ch          189: PDF=  4 Ext=  7 Diff=  -3 [OVER]
  Ch          199: PDF=  5 Ext=  8 Diff=  -3 [OVER]
  Ch            6: PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch            7: PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch            8: PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch           17: PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch           43: PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch           59: PDF= 10 Ext= 12 Diff=  -2 [OVER]
  Ch           99: PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch          105: PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch          114: PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch          117: PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch          120: PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch          151: PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch          167: PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch          183: PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch          190: PDF=  2 Ext=  4 Diff=  -2 [OVER]

Volume 2:
  Ch          200: PDF=  2 Ext=  5 Diff=  -3 [OVER]
  Ch      283(58): PDF= 27 Ext= 30 Diff=  -3 [OVER]
  Ch          220: PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch          223: PDF=  8 Ext= 10 Diff=  -2 [OVER]
  Ch       234(9): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      237(12): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      238(13): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch      239(14): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      269(44): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      271(46): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      280(55): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      286(61): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      293(68): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      295(70): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      296(71): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch       301(4): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      310(13): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch      326(29): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      338(41): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      341(44): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      342(45): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      353(56): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      355(58): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      360(63): PDF=  1 Ext=  3 Diff=  -2 [OVER]

Volume 3:
  Ch     431(134): PDF= 15 Ext= 24 Diff=  -9 [OVER]
  Ch      378(81): PDF= 10 Ext= 13 Diff=  -3 [OVER]
  Ch     594(297): PDF= 44 Ext= 47 Diff=  -3 [OVER]
  Ch      379(82): PDF=  8 Ext= 10 Diff=  -2 [OVER]
  Ch      380(83): PDF=  7 Ext=  9 Diff=  -2 [OVER]
  Ch      383(86): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     403(106): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch     407(110): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     423(126): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     427(130): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     428(131): PDF=  9 Ext= 11 Diff=  -2 [OVER]
